Perioden,Vtype,Waarde,Onderwerp
2017,bicycle,22800000.00,Tweewielers
2016,bicycle,22800000.00,Tweewielers
2015,bicycle,22700000.00,Tweewielers
2014,bicycle,22500000.00,Tweewielers
2013,bicycle,22300000.00,Tweewielers
2012,bicycle,20800000.00,Tweewielers
2011,bicycle,20000000.00,Tweewielers
2010,bicycle,19000000.00,Tweewielers
2009,bicycle,18000000.00,Tweewielers
2008,bicycle,18000000.00,Tweewielers
2007,bicycle,18000000.00,Tweewielers
2006,bicycle,18000000.00,Tweewielers
2005,bicycle,18000000.00,Tweewielers
2004,bicycle,18000000.00,Tweewielers
2003,bicycle,18000000.00,Tweewielers
2002,bicycle,17800000.00,Tweewielers
2001,bicycle,17800000.00,Tweewielers
2000,bicycle,17800000.00,Tweewielers
1999,bicycle,16500000.00,Tweewielers
1998,bicycle,16500000.00,Tweewielers
1997,bicycle,16700000.00,Tweewielers
1996,bicycle,16000000.00,Tweewielers
2017,ebicycle,1800000.00,Tweewielers
2016,ebicycle,1400000.00,Tweewielers
2015,ebicycle,1300000.00,Tweewielers
2014,ebicycle,1200000.00,Tweewielers
2013,ebicycle,1000000.00,Tweewielers
2012,ebicycle,800000.00,Tweewielers