Onderwerp,Perioden,Vtype,Waarde
Benzine:100,2007,moped,693487
Benzine:100,2008,moped,765305
Benzine:100,2009,moped,849273
Benzine:100,2010,moped,926946
Benzine:100,2011,moped,994798
Benzine:100,2012,moped,1024623
Benzine:100,2013,moped,1044538
Benzine:100,2014,moped,1059417
Benzine:100,2015,moped,1078368
Benzine:100,2016,moped,1100371
Benzine:100,2017,moped,1124557
Benzine:100,2018,moped,1153742
Benzine:100,2019,moped,1166053
Diesel:100,2007,moped,15819
Diesel:100,2008,moped,17600
Diesel:100,2009,moped,19084
Diesel:100,2010,moped,20191
Diesel:100,2011,moped,20807
Diesel:100,2012,moped,21062
Diesel:100,2013,moped,21103
Diesel:100,2014,moped,20745
Diesel:100,2015,moped,20394
Diesel:100,2016,moped,19818
Diesel:100,2017,moped,19243
Diesel:100,2018,moped,18814
Diesel:100,2019,moped,18173
Elektriciteit:100,2007,emoped,2486
Elektriciteit:100,2008,emoped,3503
Elektriciteit:100,2009,emoped,5515
Elektriciteit:100,2010,emoped,8564
Elektriciteit:100,2011,emoped,12491
Elektriciteit:100,2012,emoped,15991
Elektriciteit:100,2013,emoped,19602
Elektriciteit:100,2014,emoped,21816
Elektriciteit:100,2015,emoped,26033
Elektriciteit:100,2016,emoped,30644
Elektriciteit:100,2017,emoped,34500
Elektriciteit:100,2018,emoped,38966
Elektriciteit:100,2019,emoped,45812