Vlag,Onderwerp,Perioden,Waarde,Voertuigtype
NL,handel,2006,574,Zeevaartschip
NL,handel,2007,566,Zeevaartschip
NL,handel,2008,640,Zeevaartschip
NL,handel,2009,688,Zeevaartschip
NL,handel,2010,725,Zeevaartschip
NL,handel,2011,769,Zeevaartschip
NL,handel,2012,800,Zeevaartschip
NL,handel,2013,822,Zeevaartschip
NL,handel,2014,808,Zeevaartschip
NL,handel,2015,790,Zeevaartschip
NL,handel,2016,771,Zeevaartschip
NL,handel,2017,761,Zeevaartschip
NL,zeesleepvaart,2006,174,Zeevaartschip
NL,zeesleepvaart,2007,212,Zeevaartschip
NL,zeesleepvaart,2008,222,Zeevaartschip
NL,zeesleepvaart,2009,222,Zeevaartschip
NL,zeesleepvaart,2010,249,Zeevaartschip
NL,zeesleepvaart,2011,235,Zeevaartschip
NL,zeesleepvaart,2012,247,Zeevaartschip
NL,zeesleepvaart,2013,260,Zeevaartschip
NL,zeesleepvaart,2014,258,Zeevaartschip
NL,zeesleepvaart,2015,275,Zeevaartschip
NL,zeesleepvaart,2016,288,Zeevaartschip
NL,zeesleepvaart,2017,291,Zeevaartschip
NL,waterbouw,2006,148,Zeevaartschip
NL,waterbouw,2007,139,Zeevaartschip
NL,waterbouw,2008,118,Zeevaartschip
NL,waterbouw,2009,121,Zeevaartschip
NL,waterbouw,2010,120,Zeevaartschip
NL,waterbouw,2011,156,Zeevaartschip
NL,waterbouw,2012,169,Zeevaartschip
NL,waterbouw,2013,168,Zeevaartschip
NL,waterbouw,2014,167,Zeevaartschip
NL,waterbouw,2015,171,Zeevaartschip
NL,waterbouw,2016,171,Zeevaartschip
NL,waterbouw,2017,176,Zeevaartschip
X,handel,2006,434,Zeevaartschip
X,handel,2007,462,Zeevaartschip
X,handel,2008,395,Zeevaartschip
X,handel,2009,410,Zeevaartschip
X,handel,2010,433,Zeevaartschip
X,handel,2011,422,Zeevaartschip
X,handel,2012,408,Zeevaartschip
X,handel,2013,403,Zeevaartschip
X,handel,2014,403,Zeevaartschip
X,handel,2015,430,Zeevaartschip
X,handel,2016,451,Zeevaartschip
X,handel,2017,458,Zeevaartschip
X,zeesleepvaart,2006,284,Zeevaartschip
X,zeesleepvaart,2007,332,Zeevaartschip
X,zeesleepvaart,2008,358,Zeevaartschip
X,zeesleepvaart,2009,406,Zeevaartschip
X,zeesleepvaart,2010,459,Zeevaartschip
X,zeesleepvaart,2011,451,Zeevaartschip
X,zeesleepvaart,2012,477,Zeevaartschip
X,zeesleepvaart,2013,498,Zeevaartschip
X,zeesleepvaart,2014,519,Zeevaartschip
X,zeesleepvaart,2015,512,Zeevaartschip
X,zeesleepvaart,2016,502,Zeevaartschip
X,zeesleepvaart,2017,499,Zeevaartschip
X,waterbouw,2006,39,Zeevaartschip
X,waterbouw,2007,45,Zeevaartschip
X,waterbouw,2008,52,Zeevaartschip
X,waterbouw,2009,66,Zeevaartschip
X,waterbouw,2010,63,Zeevaartschip
X,waterbouw,2011,55,Zeevaartschip
X,waterbouw,2012,55,Zeevaartschip
X,waterbouw,2013,52,Zeevaartschip
X,waterbouw,2014,52,Zeevaartschip
X,waterbouw,2015,62,Zeevaartschip
X,waterbouw,2016,62,Zeevaartschip
X,waterbouw,2017,63,Zeevaartschip